Training_sample,Mean_kNN_distance
Train_001,1.1351495210332625
Train_002,1.1558656815030655
Train_003,2.1180746908305643
Train_004,1.8550509124229886
Train_005,1.8297570526063325
Train_006,0.8852601049688422
Train_007,0.954693159381432
Train_008,2.7127851136928336
Train_009,1.2872778046805176
Train_010,2.0300882052230995
Train_011,2.515106238197139
Train_012,2.965396536798374
Train_013,0.7145481706571342
Train_014,0.41909820404015335
Train_015,0.3686745403266203
Train_016,0.5481003578311988
Train_017,0.402599690426454
Train_018,0.3894920930365121
Train_019,1.474812579829031
Train_020,1.474812579829031
Train_021,1.3391314249591126
Train_022,1.3391314249591126
Train_023,2.870521381963678
Train_024,1.611988987399301
Train_025,2.1423954878187033
Train_026,2.273539901067519
Train_027,2.360686440004548
Train_028,2.4045219148401307
Train_029,0.6794235562348676
Train_030,0.6843286694694527
Train_031,0.6415636033660771
Train_032,0.6507214963052174
Train_033,0.7254013167564023
Train_034,2.13898798077905
Train_035,2.607391279672118
Train_036,2.440983782469801
Train_037,2.5644193563163995
Train_038,3.4316335615121267
Train_039,2.359142391376979
Train_040,2.2922296201954864
Train_041,2.798962154312487
Train_042,1.7454556471818712
Train_043,3.1651919631665715
Train_044,2.085585950469095
Train_045,1.3822855682178055
Train_046,1.36362124051258
Train_047,2.601799985925603
Train_048,2.090899421389877
Train_049,1.36362124051258
Train_050,0.8659020462365667
Train_051,0.8659020462365667
Train_052,0.8659020462365667
Train_053,0.8659020462365667
Train_054,1.7318040924731335
Train_055,1.7318040924731335
Train_056,1.8622674561245738
Train_057,1.5492643493242286
Train_058,1.5032683267772253
Train_059,2.250934353893193
Train_060,1.8159953970016591
Train_061,1.8194581622613175
Train_062,1.81378716736443
Train_063,1.8127624435883132
Train_064,2.3900646411236264
Train_065,1.9107264283278869
Train_066,2.1397372801678323
Train_067,2.151513869368171
Train_068,2.1321800078401383
Train_069,2.8524463451020927
Train_070,2.66336993983098
Train_071,3.140365000206013
Train_072,1.6973198035222246
Train_073,1.5663999230012517
Train_074,1.5826020279912614
Train_075,2.4999787003112295
Train_076,2.7046375759663053
Train_077,1.5990763066534175
Train_078,1.5990763066534175
Train_079,1.5990763066534175
Train_080,0.0
Train_081,0.0
Train_082,0.0
Train_083,0.0
Train_084,0.0
Train_085,0.0
Train_086,0.0
Train_087,0.0
Train_088,0.0
Train_089,0.0
Train_090,0.0
Train_091,0.0
Train_092,0.0
Train_093,0.1892373386926154
Train_094,0.12279600669439361
Train_095,0.12279600669439361
Train_096,0.11723525833265525
Train_097,0.11723525833265525
Train_098,0.11723525833265525
Train_099,0.7503061531116637
Train_100,0.7363400060031646
Train_101,0.8747459314435593
Train_102,1.207205093769997
Train_103,1.1022047413306388
