Group,N_samples,Acc,F1,Precision,Recall,AUROC,AUPRC,MCC,Median_r,1-TVD,Cosine
All,80,0.8395833333333333,0.7344531788159386,0.6652291170711998,0.8508808121950395,0.9059326651801001,0.8369524652785311,0.5968070764638805,0.6004608628307051,0.6231473733747959,0.757829794313104
In-AD,62,0.8591027067111605,0.7671006295487263,0.6889988321668659,0.8997219296281231,0.9304317935157698,0.8817960965196666,0.6512027313620191,0.65283386166695,0.6568519903451374,0.8007950514596326
Out-of-AD,18,0.7723499361430396,0.6592617233615369,0.6506572581876842,0.7238198639314258,0.8113388373768998,0.7539384549113565,0.46925444872711986,0.3234391548226018,0.5070536926991753,0.6098383530306171
