feature,mean_abs_shap,relative_mean_abs_shap
zp_solvent_PBS,0.038581273418356765,100.0
incub_time,0.03430259828661726,88.90996913102475
zp_mv,0.03272324280372389,84.81638863727693
washing_steps,0.02711420878369469,70.2781592760852
np_subtype_Polystyrene,0.027053480364167687,70.12075540071673
np_subtype_Lipid,0.02449356099393976,63.485620934133955
hd_solvent_PBS,0.023856007000555988,61.83312495125012
np_type_Organic,0.023677893337240862,61.37146661928231
size_nm,0.02313922800737883,59.97528323253661
np_subtype_Metal Oxide,0.022522710051379475,58.377311207834026
np_subtype_Metal,0.02249281829432101,58.29983383497924
zp_charge_Neutral,0.02095894311358421,54.32413514793956
mod_charge_Negative,0.020507394514137665,53.15375231855452
zp_charge_Negative,0.019370124463684277,50.206026777924016
zp_solvent_DI-H2O,0.01828679250761505,47.39810505817646
hd_solvent_Not Reported,0.017326502944650643,44.9091007359202
agitation_Y,0.017125708351233896,44.38865499728574
np_subtype_Silica,0.01610424646958365,41.74109624365414
mod_type_Alkylthiols,0.01576940689299102,40.87321515284154
np_type_Inorganic,0.015115639542302802,39.17869526595476
mod_type_No Modification,0.013612351880269954,35.282277317972785
agitation_N,0.013547142610122086,35.113259386810256
hd_solvent_DI-H2O,0.012704908046226131,32.93024548065125
mod_charge_No Modification,0.012247653862866059,31.745074171239484
mod_charge_Neutral,0.011455011086182272,29.690598757510266
mod_charge_Positive,0.011402873744910825,29.5554623645092
mod_type_Polymeric,0.011229525984570632,29.106156924378972
mod_type_Carboxylic Acids,0.010955806070420912,28.396693783591388
zp_solvent_NaCl,0.009478808177675794,24.568417104568216
np_subtype_Other,0.008480418359343635,21.98065954792642
hd_solvent_KCl,0.007825200296394233,20.28237951490488
zp_solvent_Human Plasma,0.00731636579454687,18.963515577134327
mod_type_Amines,0.006815342156317679,17.664896859197434
zp_solvent_KCl,0.006350753752234625,16.460715755465372
hd_solvent_HEPES,0.0050329984338907206,13.045184847361845
zp_solvent_Not Reported,0.0048463823927724645,12.561488938482215
zp_charge_Positive,0.004726722257909523,12.25133812110145
mod_type_Amino Acid,0.004659333999398038,12.076672402371125
hd_solvent_Human Plasma,0.004636033678225633,12.016279576764392
np_subtype_Niosome,0.0046120182377335514,11.954033211198203
zp_solvent_HEPES,0.0025716823583939964,6.665623320692167
mod_type_Lipid,0.0024840830711721253,6.4385720093681815
mod_type_Sulfur-Based,0.0021953585360836646,5.69021792587884
mod_type_Other,0.0020023597111977335,5.189978281652626
mod_type_Small Hydrocarbons,0.0019112079147712846,4.9537191114639105
zp_charge_Not Reported,0.001778166443518759,4.608884792985388
mod_type_Peptide,0.00160213978966409,4.152635845611567
zp_solvent_RPMI,0.0011009204745338341,2.8535099466416836
mod_type_Surfactants,0.0011003784314944946,2.8521050084649104
hd_solvent_RPMI,0.0007894725204383825,2.046258328173159
np_type_Carbon-Based,0.0006352162413583209,1.6464366908534656
zp_solvent_Other Buffer,0.0005995561245319102,1.5540081272865518
hd_solvent_Other Buffer,0.0004839840768989997,1.2544533500771455
mod_type_Silicon-Based,0.0004037147572339496,1.046400809160084
agitation_Not Reported,0.00036050827536398264,0.9344125878241611
