epoch,train_loss,presence_loss,abundance_loss,dev_composite,dev_auroc,dev_auprc,dev_cosine
1.0,4.544791507720947,0.9733142375946044,1.8288706541061401,0.49044883007012835,0.5710069143953957,0.4959134688637073,0.5342223617195673
2.0,3.655219221115112,0.9514300465583801,1.3845477104187012,0.5208613162474238,0.6243247248022585,0.523878580629719,0.5770186512722185
3.0,3.3553293228149412,0.9190443277359008,1.2475650548934936,0.5361384962591236,0.6357438490806929,0.5174045242897924,0.5831468749968949
4.0,3.1578830242156983,0.9384837865829467,1.1365028142929077,0.5556481005452454,0.651241064739272,0.5104643678904638,0.5862815252242058
5.0,2.9161629676818848,0.891240394115448,1.0369158387184143,0.5631160142972174,0.6540330602299002,0.5093845981674352,0.6206381032787877
6.0,2.830985164642334,0.8840810537338257,0.996964406967163,0.571561484537209,0.6638007694022033,0.5226094145465423,0.615941668453876
7.0,2.7005849361419676,0.8579164743423462,0.9435877561569214,0.5828946234561698,0.6778792836241816,0.536387570419655,0.6337717394818979
8.0,2.587278127670288,0.8291802525520324,0.9002811431884765,0.588171113621982,0.6847120822633975,0.5436729764598892,0.6299853903040927
9.0,2.5516355991363526,0.8223181128501892,0.8855433702468872,0.6003601666140992,0.6962815776330472,0.5571475255823584,0.6506672992604222
10.0,2.3515986442565917,0.7953708648681641,0.7969080924987793,0.6097415967863541,0.7059833139907763,0.57020414939777,0.6572919828817748
11.0,2.2807902812957765,0.7571178436279297,0.7802373051643372,0.6166188441997928,0.718988564186838,0.5875915304636651,0.6488863291639194
12.0,2.2500320434570313,0.7701896905899048,0.7577929258346557,0.6293301758123405,0.7372715338752336,0.6069765888005404,0.6646060497126186
13.0,2.1355053424835204,0.7299471855163574,0.7197536945343017,0.6366185148730235,0.7468182760134773,0.6160256773201582,0.6733270955164182
14.0,2.076156568527222,0.7143995285034179,0.6973241567611694,0.6412171672299406,0.7606057801111388,0.629719265961896,0.6488248454150168
15.0,2.0309535026550294,0.7058910727500916,0.6785337209701539,0.6526908938847074,0.7730868744463887,0.6440866544202984,0.674282588159877
16.0,1.9498529434204102,0.6742005348205566,0.6532319784164429,0.6565373498292975,0.7773431839911029,0.6469124644154892,0.6784859421482562
17.0,1.9239850997924806,0.6551000475883484,0.6497665882110596,0.6604645838731322,0.7826693562409257,0.6550053836443597,0.674868636084684
18.0,1.8970799922943116,0.6478069186210632,0.6397237420082093,0.6647253311949577,0.7903706219046892,0.6669102774919884,0.6737250306761834
19.0,1.8054079294204712,0.6261699676513672,0.6038603901863098,0.6755960077962978,0.807344932801465,0.6954614876299814,0.6671394722506464
20.0,1.7792880058288574,0.6020574331283569,0.6028324723243713,0.6821518778751954,0.8192134369813523,0.7085881617317539,0.6860471645505258
21.0,1.7505120754241943,0.5845830321311951,0.5970451951026916,0.6865030165062791,0.8194199263926008,0.7117817862858925,0.6877495204463974
22.0,1.7103981733322144,0.5629676461219788,0.5875725507736206,0.6842885535006122,0.8176346256037609,0.7100817700470775,0.6730212037755602
23.0,1.7174167156219482,0.5777446985244751,0.583599591255188,0.6805812822443693,0.8248346778395853,0.7165258823751219,0.6722965460202963
24.0,1.6722577571868897,0.5562570214271545,0.5714780807495117,0.6872568643222061,0.8263036183019593,0.7223430381786367,0.680771231016671
25.0,1.6690959692001344,0.5320403933525085,0.5822597742080688,0.6908936552662999,0.8250773311640951,0.7190812074450119,0.6866474719748955
26.0,1.5608892679214477,0.5377529382705688,0.5239243686199189,0.6823714843537836,0.8206136563061718,0.7173670488092908,0.6746011332627142
27.0,1.5587416410446167,0.5180343389511108,0.5329220592975616,0.6849847466071511,0.8195697668655713,0.7174114952640146,0.6882299411346544
28.0,1.6087713479995727,0.533613097667694,0.5505635857582092,0.6911538170593231,0.8231878733769389,0.7222602457678813,0.6983757968820029
29.0,1.568586826324463,0.508460921049118,0.5428658604621888,0.6977783847823062,0.8298887731597412,0.7281497200655118,0.7044562735056962
30.0,1.4984713792800903,0.49472466111183167,0.5139954030513764,0.6969046779181161,0.8352890833765696,0.7350699351195586,0.6956813567869083
31.0,1.5360754013061524,0.4859067857265472,0.5377669870853424,0.6954261682569506,0.8352680375177832,0.7350709845163973,0.686566070834362
32.0,1.5368531227111817,0.5029834866523742,0.5294206738471985,0.6981604387792659,0.8359208383844254,0.7394444563569683,0.7047683755402584
33.0,1.4447604179382325,0.48347358107566835,0.4922527074813843,0.705927173366085,0.8420661440787605,0.7510818611974797,0.7129486225776578
34.0,1.4575768947601317,0.46100289225578306,0.5103224337100982,0.7040053268534103,0.8443521879546266,0.7508079646214407,0.6961652659343329
35.0,1.4726379632949829,0.480997234582901,0.5077962160110474,0.6999615642065525,0.8414213469245877,0.7483651229947842,0.6990609856692447
36.0,1.415401077270508,0.4661629557609558,0.4860827922821045,0.7045160826732755,0.8427335062107429,0.7523516520012989,0.7084850894600553
37.0,1.4145743370056152,0.4716734290122986,0.4828376770019531,0.7062655567715803,0.8421259719000188,0.7486899358842928,0.7075484184323492
38.0,1.3954048156738281,0.4599459767341614,0.47902674674987794,0.7102460937999695,0.8451326332163119,0.7541534976837212,0.7231077991169256
39.0,1.421542716026306,0.479203462600708,0.48255006074905393,0.7102179444077784,0.843958736039264,0.7573980867048002,0.7259867522154994
40.0,1.4055177211761474,0.4541691064834595,0.48716355562210084,0.7078656026057245,0.8402702020051172,0.7530976493000292,0.7237028160089132
41.0,1.3625272750854491,0.43861477375030516,0.4731141746044159,0.7100513503814523,0.8420771357796507,0.754819869373328,0.7303474462178582
42.0,1.3915782928466798,0.4459197878837585,0.48424976468086245,0.7100465110135084,0.8483456011495673,0.7598736207790664,0.7113088439847507
43.0,1.4341996908187866,0.4503851652145386,0.5037885904312134,0.7113987070096204,0.8501120934586165,0.7600395720407433,0.7090616104441031
44.0,1.3806629180908203,0.44178571701049807,0.48077722191810607,0.7105855870045161,0.8499185849471499,0.7661232638971198,0.7230149042236595
45.0,1.318862748146057,0.42136616110801695,0.4595871686935425,0.7139310281391771,0.8497484331569256,0.7648337878663272,0.713555762381966
46.0,1.386103057861328,0.4140729546546936,0.49775406122207644,0.7151619835407752,0.850398975236061,0.7623481009728917,0.7143466980657277
47.0,1.3482816219329834,0.42271695137023924,0.4739601731300354,0.7180332610237357,0.8495659055829162,0.7605363931897818,0.7382817156983364
48.0,1.3147303581237793,0.41564068794250486,0.46040295958518984,0.7175514175791989,0.8483992047390669,0.7623083673600374,0.7329211520261872
49.0,1.3507339477539062,0.44477914571762084,0.4639184296131134,0.7141352782303911,0.8467890106536841,0.7607466107672451,0.7203703412418418
50.0,1.3305147886276245,0.40651880502700805,0.4731568872928619,0.7139764931215482,0.8441904037411213,0.7609858192922437,0.73119917335271
51.0,1.259891891479492,0.4067702054977417,0.4368638277053833,0.7158744692099676,0.8457677021959908,0.7600471672720661,0.7305438038106304
52.0,1.2713447332382202,0.4127975940704346,0.439642071723938,0.7158744556698604,0.8468870937062057,0.757036814069383,0.72748403666915
53.0,1.3474132537841796,0.42201746106147764,0.4738737106323242,0.7164942580566335,0.8480714944749899,0.760239438665569,0.7301850799563723
54.0,1.3146093130111693,0.4064102292060852,0.4650676786899567,0.7160455628739294,0.8461370315138863,0.7607262668820634,0.7348994985146765
55.0,1.2668793201446533,0.3963658094406128,0.4457697689533234,0.7173450133182597,0.8457652441015456,0.7605179125485201,0.7351046408468047
56.0,1.2776473760604858,0.41159340739250183,0.44348613619804383,0.7220282457857541,0.8495482034035183,0.7706383586169792,0.739353468391024
57.0,1.2859489679336549,0.4021658420562744,0.4525648236274719,0.7258473106765272,0.8567685366467885,0.7760713202797516,0.7440320056190476
58.0,1.2358693122863769,0.3956477284431458,0.4302579820156097,0.7244339651760989,0.8583497247927553,0.7779914177637417,0.724729716491586
59.0,1.2593068122863769,0.3962534427642822,0.44194960594177246,0.7206555040473505,0.8526097782732038,0.7705669134243619,0.7303903014515978
60.0,1.2877671003341675,0.40013058185577394,0.45453805923461915,0.7189612308965454,0.8509107811420206,0.7675794810511493,0.7321142758671814
61.0,1.225606632232666,0.3720241725444794,0.4370997488498688,0.7239961867866953,0.854616686597829,0.7697002518260114,0.737900010620833
62.0,1.2460280418395997,0.395588356256485,0.43549042344093325,0.7281507815548847,0.857949149890444,0.7787823242519991,0.7396822259992978
63.0,1.195597267150879,0.3711393356323242,0.42218577265739443,0.7274630042669682,0.8585657033813159,0.7818601668456413,0.7397350852121608
64.0,1.211076259613037,0.378463613986969,0.426361608505249,0.7245021841932784,0.8578254793868,0.7792600160074422,0.7357134361633207
65.0,1.1659809827804566,0.373583710193634,0.40576825141906736,0.7256321537847406,0.8573219358190253,0.7744179624078866,0.7315788131910158
66.0,1.1441157579421997,0.3629303514957428,0.400026923418045,0.724890351410796,0.8561450508650182,0.7723598193113028,0.7314694538388187
67.0,1.1323145866394042,0.3608184814453125,0.39506524205207827,0.7216476302324754,0.8558384706418167,0.7756057691072505,0.7319028914987978
68.0,1.1957815885543823,0.3652264952659607,0.42530800104141236,0.7279460101242048,0.8583365924042503,0.7773491899758201,0.739115422589355
69.0,1.2072586297988892,0.3763810098171234,0.425473153591156,0.7293916636649691,0.8581740132364848,0.7772446201037353,0.7394417795829086
70.0,1.2321285486221314,0.3768905341625214,0.4379475474357605,0.7256946311723864,0.8555174248400446,0.7752606084135099,0.7353475759087592
71.0,1.203607964515686,0.37479997277259824,0.4244133234024048,0.7269321000959803,0.8576969111553443,0.77916370828734,0.7359053923515355
72.0,1.1437150239944458,0.354456627368927,0.40416090488433837,0.7288135112816987,0.8596955502574543,0.7825540948236211,0.7411911651291577
73.0,1.1931581974029541,0.3791764318943024,0.4168211817741394,0.731090378205899,0.8592126660049328,0.7819805534526995,0.7454029698608785
74.0,1.1701224446296692,0.3632167041301727,0.4131977021694183,0.730705376500695,0.8546704122249545,0.7729533036747672,0.7520192034152565
75.0,1.1183707952499389,0.35103734731674197,0.39293365478515624,0.7288007209721021,0.8539887602418519,0.7725356127844264,0.7429913715153414
76.0,1.1116870164871215,0.35345550775527956,0.38827276825904844,0.7285518136096029,0.8558843148808104,0.77358363343009,0.7365398961878128
77.0,1.1387221574783326,0.3589700639247894,0.3992929577827454,0.7291386465478096,0.8558498609863727,0.7724218517800624,0.7430093360942424
78.0,1.1493975400924683,0.35782805681228635,0.4053443431854248,0.7321959027278537,0.8599827696625476,0.7759129956535444,0.7432635109684574
79.0,1.0877936840057374,0.3417587399482727,0.3820271849632263,0.7330757433998024,0.864180559263064,0.7821518893286923,0.7388857671286689
80.0,1.1458148956298828,0.35040782690048217,0.407309490442276,0.7340974702439917,0.8668281844501501,0.7882475629329607,0.7391903282398319
81.0,1.171502375602722,0.36762150526046755,0.4116487205028534,0.7333754033216805,0.8614286083668075,0.7838360677961814,0.7441859538707135
82.0,1.1495301961898803,0.34673566818237306,0.41109246015548706,0.7346071821708804,0.8611822997575976,0.7849790352393509,0.7474385107622474
83.0,1.154170298576355,0.34945107698440553,0.4120780467987061,0.7339654291906457,0.86187707140224,0.7796079699858218,0.7396499593617176
84.0,1.1284546852111816,0.34999974370002745,0.398628705739975,0.73570789480901,0.8623273826971951,0.7802372680010887,0.7480538788747841
85.0,1.0471343994140625,0.3340483784675598,0.36515480279922485,0.7362778157895737,0.8640278787791354,0.7829649564058728,0.747017178686774
86.0,1.0825854063034057,0.3458791136741638,0.377250200510025,0.7385106320028972,0.8681974121180269,0.7885319833313819,0.7456503098484872
87.0,1.0867849111557006,0.34423128366470335,0.3802444875240326,0.7370784025239512,0.8677208676336879,0.7878102437812863,0.7374296762908986
88.0,1.0968490362167358,0.3523924708366394,0.3812189280986786,0.7347027099096253,0.8638187837034639,0.7788665673260916,0.7378579631883652
89.0,1.1181833267211914,0.35376516580581663,0.39144080877304077,0.7393369569201662,0.8671303991728655,0.7851697890829505,0.7489923101179361
90.0,1.145223331451416,0.35222824811935427,0.4060743749141693,0.7433997772559919,0.8729537514711556,0.7936338200240688,0.7482861147894176
91.0,1.0735365152359009,0.33720479607582093,0.3770583748817444,0.7315738970123327,0.8622503895980647,0.7800789970502108,0.7343683965508911
92.0,1.060429584980011,0.3322048246860504,0.3729070067405701,0.7295932692833709,0.8593313764005511,0.7793507753075996,0.7333412539571568
93.0,1.077715802192688,0.34627658128738403,0.3745530366897583,0.7298544557309149,0.8577850189271099,0.7781038065604055,0.7355334130785115
94.0,1.0296215176582337,0.3285050094127655,0.35902551412582395,0.7309544711044161,0.8616467163668962,0.7798922720707352,0.732626391197439
95.0,1.0269698262214662,0.32149853706359866,0.3612554669380188,0.733713788248906,0.8652434466829588,0.7828650317665545,0.7428825364308947
96.0,1.0218466520309448,0.31108970046043394,0.3639621376991272,0.7364976147483788,0.8676102173965571,0.78539914351602,0.7404382276525944
97.0,1.032936453819275,0.31853180527687075,0.3658300518989563,0.7370065420249878,0.8659324250682292,0.7891946396985634,0.7470135907651353
98.0,1.0669222354888916,0.332826828956604,0.3759132087230682,0.7374811714750995,0.8643325832179286,0.7893856978228764,0.7535346707828836
99.0,1.0144620418548584,0.3262002348899841,0.3524428904056549,0.7393409172114491,0.8650171202772607,0.7863364494849789,0.7483954199201879
100.0,1.0849316716194153,0.3349385023117065,0.38405410051345823,0.7391135968875746,0.8671628804014159,0.787163421031846,0.7403534026352405
