NP_ID,mod_type,mod_charge,np_type,np_subtype,size_nm,zp_mv,zp_charge,zp_solvent,hd_solvent,incub_time,agitation,washing_steps
NP145,Polymeric,Neutral,Inorganic,Metal,58.6,-25.1,Negative,DI-H2O,DI-H2O,>60,N,1~3
NP146,Polymeric,Neutral,Inorganic,Metal,58.6,-25.1,Negative,DI-H2O,DI-H2O,>60,N,1~3
NP147,Carboxylic Acids,Negative,Inorganic,Metal,26.6,-37,Negative,DI-H2O,DI-H2O,>60,N,1~3
NP148,Carboxylic Acids,Negative,Inorganic,Metal,26.6,-37,Negative,DI-H2O,DI-H2O,>60,N,1~3
NP149,Polymeric,Neutral,Inorganic,Metal,99.5,-6.4,Neutral,PBS,PBS,>60,N,1~3
NP150,Polymeric,Neutral,Inorganic,Metal,99.5,-6.4,Neutral,PBS,PBS,>60,N,1~3
NP151,Carboxylic Acids,Negative,Inorganic,Metal,654.7,-16.1,Negative,PBS,PBS,>60,N,1~3
NP152,Carboxylic Acids,Negative,Inorganic,Metal,654.7,-16.1,Negative,PBS,PBS,>60,N,1~3
NP153,Polymeric,Neutral,Inorganic,Metal,21.6,-21.2,Negative,Human Plasma,Not Reported,>60,N,1~3
NP154,Carboxylic Acids,Negative,Inorganic,Metal,24.3,-26.1,Negative,Human Plasma,Not Reported,>60,N,1~3
NP155,Polymeric,Neutral,Inorganic,Metal,21.6,-6.6,Neutral,RPMI,Not Reported,>60,N,1~3
NP156,Carboxylic Acids,Negative,Inorganic,Metal,24.3,-9.9,Neutral,RPMI,Not Reported,>60,N,1~3
NP157,Polymeric,Neutral,Inorganic,Metal,21.6,-25.1,Negative,DI-H2O,Not Reported,>60,N,1~3
NP158,Carboxylic Acids,Negative,Inorganic,Metal,24.3,-37,Negative,DI-H2O,Not Reported,>60,N,1~3
NP159,Polymeric,Neutral,Inorganic,Metal,21.6,-6.4,Neutral,PBS,Not Reported,>60,N,1~3
NP160,Carboxylic Acids,Negative,Inorganic,Metal,24.3,-16.1,Negative,PBS,Not Reported,30~60,N,1~3
NP161,No Modification,No Modification,Inorganic,Silica,118,-13.5,Negative,PBS,PBS,30~60,Y,1~3
NP162,No Modification,No Modification,Inorganic,Silica,118,-13.5,Negative,PBS,PBS,30~60,Y,1~3
NP163,No Modification,No Modification,Inorganic,Silica,118,-13.5,Negative,PBS,PBS,30~60,Y,1~3
NP164,Polymeric,Neutral,Inorganic,Metal,55.78,-25.1,Negative,DI-H2O,DI-H2O,30~60,N,4~6
NP165,Polymeric,Neutral,Inorganic,Metal,27.11,-24.5,Negative,DI-H2O,DI-H2O,30~60,N,4~6
NP166,Carboxylic Acids,Negative,Inorganic,Metal,30.03,-24.3,Negative,DI-H2O,DI-H2O,30~60,N,4~6
NP167,Polymeric,Neutral,Inorganic,Metal,43.14,53.95,Positive,DI-H2O,DI-H2O,30~60,N,4~6
NP168,Carboxylic Acids,Negative,Inorganic,Metal,26.61,-36.95,Negative,DI-H2O,DI-H2O,30~60,N,4~6
NP169,Polymeric,Neutral,Inorganic,Metal,37.2,47,Positive,DI-H2O,DI-H2O,30~60,N,4~6
NP170,Polymeric,Neutral,Inorganic,Metal,75.36,-21.2,Negative,Human Plasma,Human Plasma,30~60,N,4~6
NP171,Polymeric,Neutral,Inorganic,Metal,47.02,-23.97,Negative,Human Plasma,Human Plasma,30~60,N,4~6
NP172,Carboxylic Acids,Negative,Inorganic,Metal,56.6,-24.97,Negative,Human Plasma,Human Plasma,30~60,N,4~6
NP173,Polymeric,Neutral,Inorganic,Metal,301.67,-25.7,Negative,Human Plasma,Human Plasma,30~60,N,4~6
NP174,Carboxylic Acids,Negative,Inorganic,Metal,58.1,-26.13,Negative,Human Plasma,Human Plasma,30~60,N,4~6
NP175,Polymeric,Neutral,Inorganic,Metal,295.2,-26.9,Negative,Human Plasma,Human Plasma,30~60,N,4~6
NP176,No Modification,No Modification,Organic,Lipid,83.5,50.5,Positive,PBS,PBS,30~60,Y,1~3
NP177,No Modification,No Modification,Organic,Lipid,90.8,51.2,Positive,PBS,PBS,30~60,Y,1~3
NP178,No Modification,No Modification,Organic,Lipid,85.6,55.6,Positive,PBS,PBS,30~60,Y,1~3
NP179,No Modification,No Modification,Organic,Lipid,78.8,55.7,Positive,PBS,PBS,30~60,Y,1~3
NP180,No Modification,No Modification,Organic,Lipid,119.2,56.3,Positive,PBS,PBS,30~60,Y,1~3
NP181,No Modification,No Modification,Organic,Lipid,99.6,59.2,Positive,PBS,PBS,30~60,Y,1~3
NP182,No Modification,No Modification,Organic,Lipid,156.5,-1.5,Neutral,Human Plasma,Human Plasma,30~60,Y,1~3
NP183,No Modification,No Modification,Organic,Lipid,220,-10.6,Negative,Human Plasma,Human Plasma,30~60,Y,1~3
NP184,No Modification,No Modification,Organic,Lipid,210,-11.2,Negative,Human Plasma,Human Plasma,30~60,Y,1~3
NP185,No Modification,No Modification,Organic,Lipid,250,-11.4,Negative,Human Plasma,Human Plasma,30~60,Y,1~3
NP186,No Modification,No Modification,Organic,Lipid,178.1,-2.1,Neutral,Human Plasma,Human Plasma,30~60,Y,1~3
NP187,No Modification,No Modification,Organic,Lipid,187.4,-2.4,Neutral,Human Plasma,Human Plasma,30~60,Y,1~3
NP188,Polymeric,Neutral,Organic,Lipid,152.85,-13.74,Negative,Human Plasma,Human Plasma,30~60,Y,1~3
NP189,No Modification,No Modification,Organic,Lipid,208,-15.7,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP190,Carboxylic Acids,Negative,Organic,Polystyrene,220,-13.5,Negative,PBS,PBS,30~60,N,4~6
NP191,Polymeric,Neutral,Organic,Lipid,103.2,9.9,Neutral,PBS,PBS,30~60,N,1~3
NP192,Polymeric,Neutral,Organic,Lipid,123,17.9,Positive,PBS,PBS,30~60,N,1~3
NP193,Polymeric,Neutral,Organic,Lipid,114,18.1,Positive,PBS,PBS,30~60,N,1~3
NP194,No Modification,No Modification,Organic,Lipid,131,26.1,Positive,PBS,PBS,30~60,N,1~3
NP195,No Modification,No Modification,Organic,Lipid,135,30.1,Positive,PBS,PBS,30~60,N,1~3
NP196,No Modification,No Modification,Organic,Lipid,144,30.2,Positive,PBS,PBS,30~60,N,1~3
NP197,No Modification,No Modification,Organic,Lipid,254.6,33.1,Positive,PBS,PBS,30~60,N,1~3
NP198,No Modification,No Modification,Organic,Lipid,108,34.5,Positive,PBS,PBS,30~60,N,1~3
NP199,No Modification,No Modification,Organic,Lipid,193.4,42.1,Positive,PBS,PBS,30~60,N,1~3
NP200,No Modification,No Modification,Organic,Lipid,125,46.2,Positive,PBS,PBS,30~60,N,1~3
NP201,No Modification,No Modification,Organic,Lipid,128,47.4,Positive,PBS,PBS,30~60,N,1~3
NP202,No Modification,No Modification,Organic,Lipid,157,58.2,Positive,PBS,PBS,30~60,N,1~3
NP203,Polymeric,Neutral,Organic,Lipid,115,-13.2,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP204,Polymeric,Neutral,Organic,Lipid,137,-13.9,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP205,No Modification,No Modification,Organic,Lipid,126,-14.2,Negative,PBS,PBS,30~60,N,1~3
NP206,No Modification,No Modification,Organic,Lipid,329,-15.4,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP207,No Modification,No Modification,Organic,Lipid,216,-17.9,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP208,No Modification,No Modification,Organic,Lipid,152,-18.2,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP209,No Modification,No Modification,Organic,Lipid,259,-19.3,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP210,No Modification,No Modification,Organic,Lipid,236,-19.3,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP211,No Modification,No Modification,Organic,Lipid,207,-20.4,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP212,No Modification,No Modification,Organic,Lipid,301,-22.1,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP213,No Modification,No Modification,Organic,Lipid,150,-23,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP214,Polymeric,Neutral,Organic,Lipid,169,-24.5,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP215,No Modification,No Modification,Organic,Lipid,182,-25.5,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP216,No Modification,No Modification,Organic,Lipid,136,-26.6,Negative,PBS,PBS,30~60,N,1~3
NP217,No Modification,No Modification,Organic,Lipid,211,-28.5,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP218,No Modification,No Modification,Organic,Lipid,171,-28.6,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP219,No Modification,No Modification,Organic,Lipid,178,-29.3,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP220,No Modification,No Modification,Organic,Lipid,191,-8.4,Neutral,PBS,PBS,30~60,N,1~3
NP221,No Modification,No Modification,Inorganic,Metal Oxide,250,-19.5,Negative,Not Reported,Not Reported,30~60,Y,1~3
NP222,Alkylthiols,Negative,Inorganic,Metal,52,-14.23833333,Negative,PBS,PBS,>60,N,1~3
NP223,Amino Acid,Negative,Inorganic,Metal,97.68,-12.15,Negative,PBS,PBS,>60,N,1~3
NP224,Amines,Positive,Inorganic,Metal,41.78,-11.75166667,Negative,PBS,PBS,>60,N,1~3
NP225,Amino Acid,Negative,Inorganic,Metal,60.9,-11.645,Negative,PBS,PBS,>60,N,1~3
NP226,Peptide,Negative,Inorganic,Metal,103.94,-11.57666667,Negative,PBS,PBS,>60,N,1~3
NP227,Alkylthiols,Positive,Inorganic,Metal,108.27,-11.46666667,Negative,PBS,PBS,>60,N,1~3
NP228,Peptide,Negative,Inorganic,Metal,65.4,-11.405,Negative,PBS,PBS,>60,N,1~3
NP229,Amino Acid,Negative,Inorganic,Metal,64.29,-11.355,Negative,PBS,PBS,>60,N,1~3
NP230,Alkylthiols,Negative,Inorganic,Metal,61.91,-11.13833333,Negative,PBS,PBS,>60,N,1~3
NP231,Alkylthiols,Negative,Inorganic,Metal,55.65,-10.96166667,Negative,PBS,PBS,>60,N,1~3
NP232,Alkylthiols,Negative,Inorganic,Metal,62.97,-10.8975,Negative,PBS,PBS,>60,N,1~3
NP233,Amines,Positive,Inorganic,Metal,94.45,-10.795,Negative,PBS,PBS,>60,N,1~3
NP234,Alkylthiols,Negative,Inorganic,Metal,60.99,-10.705,Negative,PBS,PBS,>60,N,1~3
NP235,Alkylthiols,Negative,Inorganic,Metal,105.18,-10.66,Negative,PBS,PBS,>60,N,1~3
NP236,Amino Acid,Negative,Inorganic,Metal,61.31,-10.59833333,Negative,PBS,PBS,>60,N,1~3
NP237,Amino Acid,Negative,Inorganic,Metal,41.93,-10.42333333,Negative,PBS,PBS,>60,N,1~3
NP238,Alkylthiols,Negative,Inorganic,Metal,60.27,-10.41666667,Negative,PBS,PBS,>60,N,1~3
NP239,Amino Acid,Negative,Inorganic,Metal,94.89,-10.26333333,Negative,PBS,PBS,>60,N,1~3
NP240,Alkylthiols,Negative,Inorganic,Metal,61.86,-10.21333333,Negative,PBS,PBS,>60,N,1~3
NP241,Amino Acid,Negative,Inorganic,Metal,57.28,-10.09,Negative,PBS,PBS,>60,N,1~3
NP242,Amines,Positive,Inorganic,Metal,77.26,-10.03333333,Negative,PBS,PBS,>60,N,1~3
NP243,Polymeric,Positive,Inorganic,Metal,68.42,-9.8175,Neutral,PBS,PBS,>60,N,1~3
NP244,Surfactants,Positive,Inorganic,Metal,107.61,-9.765,Neutral,PBS,PBS,>60,N,1~3
NP245,Peptide,Negative,Inorganic,Metal,68.38,-9.72,Neutral,PBS,PBS,>60,N,1~3
NP246,Alkylthiols,Positive,Inorganic,Metal,47.03,-9.7,Neutral,PBS,PBS,>60,N,1~3
NP247,Alkylthiols,Positive,Inorganic,Metal,114.53,-9.696666667,Neutral,PBS,PBS,>60,N,1~3
NP248,Other,Negative,Inorganic,Metal,105.01,-9.683333333,Neutral,PBS,PBS,>60,N,1~3
NP249,Amino Acid,Negative,Inorganic,Metal,100.73,-9.628333333,Neutral,PBS,PBS,>60,N,1~3
NP250,Polymeric,Neutral,Inorganic,Metal,88.32,-9.618166667,Neutral,PBS,PBS,>60,N,1~3
NP251,Alkylthiols,Positive,Inorganic,Metal,53.24,-9.611666667,Neutral,PBS,PBS,>60,N,1~3
