NP_ID,mod_type,mod_charge,np_type,np_subtype,size_nm,zp_mv,zp_charge,zp_solvent,hd_solvent,incub_time,agitation,washing_steps
NP331,Amines,Positive,Inorganic,Metal,38.4,-13.5,Negative,PBS,PBS,>60,N,1~3
NP332,Alkylthiols,Negative,Inorganic,Metal,38.4,-13.5,Negative,PBS,PBS,>60,N,1~3
NP333,Alkylthiols,Negative,Inorganic,Metal,38.4,-13.5,Negative,PBS,PBS,>60,N,1~3
NP334,Alkylthiols,Negative,Inorganic,Metal,38.4,-13.5,Negative,PBS,PBS,>60,N,1~3
NP335,Alkylthiols,Negative,Inorganic,Metal,38.4,-13.5,Negative,PBS,PBS,>60,N,1~3
NP336,Alkylthiols,Negative,Inorganic,Metal,38.4,-13.5,Negative,PBS,PBS,>60,N,1~3
NP337,Polymeric,Neutral,Inorganic,Metal,38.4,-13.5,Negative,PBS,PBS,>60,N,1~3
NP338,Alkylthiols,Positive,Inorganic,Metal,38.4,-13.5,Negative,PBS,PBS,>60,N,1~3
NP339,Polymeric,Neutral,Inorganic,Metal,38.4,-13.5,Negative,PBS,PBS,>60,N,1~3
NP340,Amino Acid,Negative,Inorganic,Metal,38.4,-13.5,Negative,PBS,PBS,>60,N,1~3
NP341,Polymeric,Negative,Inorganic,Metal,38.4,-13.5,Negative,PBS,PBS,>60,N,1~3
NP342,Carboxylic Acids,Negative,Inorganic,Metal,38.4,-13.5,Negative,PBS,PBS,>60,N,1~3
NP343,Amines,Positive,Organic,Polystyrene,116,42.8,Positive,KCl,KCl,30~60,Y,1~3
NP344,Amines,Positive,Organic,Polystyrene,116,42.8,Positive,KCl,KCl,30~60,Y,1~3
NP345,Amines,Positive,Organic,Polystyrene,116,42.8,Positive,KCl,KCl,30~60,Y,1~3
NP346,Amines,Positive,Organic,Polystyrene,116,42.8,Positive,KCl,KCl,30~60,Y,1~3
NP347,Amines,Positive,Organic,Polystyrene,116,42.8,Positive,KCl,KCl,30~60,Y,1~3
NP348,Amines,Positive,Organic,Polystyrene,116,42.8,Positive,KCl,KCl,30~60,Y,1~3
NP349,Silicon-Based,Neutral,Inorganic,Metal Oxide,391.7,-11.24,Negative,RPMI,RPMI,>60,Not Reported,1~3
NP350,Silicon-Based,Neutral,Inorganic,Metal Oxide,124.8,-19.92,Negative,RPMI,RPMI,>60,Not Reported,1~3
NP351,Polymeric,Neutral,Organic,Lipid,60,Not Reported,Not Reported,Not Reported,Not Reported,>60,N,Not Reported
NP352,No Modification,No Modification,Organic,Other,223.5,49.5,Positive,Not Reported,Not Reported,>60,N,Not Reported
NP353,No Modification,No Modification,Organic,Other,223.5,49.5,Positive,Not Reported,Not Reported,>60,N,Not Reported
NP354,No Modification,No Modification,Organic,Other,287.7,-7.6,Neutral,Not Reported,Not Reported,>60,N,Not Reported
NP355,No Modification,No Modification,Organic,Other,287.7,-7.6,Neutral,Not Reported,Not Reported,>60,N,Not Reported
NP356,No Modification,No Modification,Inorganic,Silica,220.8,-19.9,Negative,HEPES,PBS,>60,N,1~3
NP357,No Modification,No Modification,Inorganic,Silica,143.5,-39.1,Negative,HEPES,PBS,>60,N,1~3
NP358,No Modification,No Modification,Organic,Polystyrene,73,-13.5,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP359,No Modification,No Modification,Organic,Polystyrene,73,-13.5,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP360,No Modification,No Modification,Organic,Polystyrene,73,-13.5,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP361,No Modification,No Modification,Organic,Polystyrene,73,-13.5,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP362,Carboxylic Acids,Negative,Organic,Polystyrene,70,-13.5,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP363,Carboxylic Acids,Negative,Organic,Polystyrene,70,-13.5,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP364,Amines,Positive,Organic,Polystyrene,74,-13.5,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP365,Amines,Positive,Organic,Polystyrene,74,-13.5,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP366,No Modification,No Modification,Organic,Polystyrene,73,-13.5,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP367,No Modification,No Modification,Organic,Polystyrene,73,-13.5,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP368,No Modification,No Modification,Organic,Polystyrene,73,-13.5,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP369,No Modification,No Modification,Organic,Polystyrene,73,-13.5,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP370,Carboxylic Acids,Negative,Organic,Polystyrene,70,-13.5,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP371,Carboxylic Acids,Negative,Organic,Polystyrene,70,-13.5,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP372,Amines,Positive,Organic,Polystyrene,74,-13.5,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP373,Amines,Positive,Organic,Polystyrene,74,-13.5,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP374,No Modification,No Modification,Inorganic,Metal Oxide,10,-44,Negative,KCl,KCl,30~60,N,1~3
NP375,No Modification,No Modification,Inorganic,Metal Oxide,10,-44,Negative,KCl,KCl,30~60,N,1~3
NP376,No Modification,No Modification,Inorganic,Metal Oxide,10,-44,Negative,KCl,KCl,30~60,N,1~3
NP377,No Modification,No Modification,Inorganic,Metal Oxide,10,-44,Negative,KCl,KCl,30~60,N,1~3
NP378,No Modification,No Modification,Inorganic,Metal Oxide,10,-44,Negative,KCl,KCl,30~60,N,1~3
NP379,No Modification,No Modification,Inorganic,Metal Oxide,10,-44,Negative,KCl,KCl,30~60,N,1~3
NP380,No Modification,No Modification,Inorganic,Metal Oxide,10,-44,Negative,KCl,KCl,30~60,N,1~3
NP381,No Modification,No Modification,Inorganic,Metal Oxide,10,-44,Negative,KCl,KCl,30~60,N,1~3
NP382,No Modification,No Modification,Inorganic,Metal Oxide,10,-44,Negative,KCl,KCl,30~60,N,1~3
NP383,No Modification,No Modification,Inorganic,Metal Oxide,10,-44,Negative,KCl,KCl,30~60,N,1~3
NP384,No Modification,No Modification,Inorganic,Metal Oxide,10,-44,Negative,KCl,KCl,30~60,N,1~3
NP385,No Modification,No Modification,Inorganic,Metal Oxide,10,-44,Negative,KCl,KCl,30~60,N,1~3
NP386,No Modification,No Modification,Inorganic,Metal Oxide,10,-50,Negative,KCl,KCl,30~60,N,1~3
NP387,No Modification,No Modification,Inorganic,Metal Oxide,10,-50,Negative,KCl,KCl,30~60,N,1~3
NP388,No Modification,No Modification,Inorganic,Metal Oxide,10,-50,Negative,KCl,KCl,30~60,N,1~3
NP389,No Modification,No Modification,Inorganic,Metal Oxide,10,-50,Negative,KCl,KCl,30~60,N,1~3
NP390,No Modification,No Modification,Inorganic,Metal Oxide,10,-50,Negative,KCl,KCl,30~60,N,1~3
NP391,No Modification,No Modification,Inorganic,Metal Oxide,10,-50,Negative,KCl,KCl,30~60,N,1~3
NP392,No Modification,No Modification,Inorganic,Metal Oxide,10,-50,Negative,KCl,KCl,30~60,N,1~3
NP393,No Modification,No Modification,Inorganic,Metal Oxide,10,-50,Negative,KCl,KCl,30~60,N,1~3
NP394,No Modification,No Modification,Inorganic,Metal Oxide,10,-50,Negative,KCl,KCl,30~60,N,1~3
NP395,No Modification,No Modification,Inorganic,Metal Oxide,10,-50,Negative,KCl,KCl,30~60,N,1~3
NP396,No Modification,No Modification,Inorganic,Metal Oxide,10,-50,Negative,KCl,KCl,30~60,N,1~3
NP397,No Modification,No Modification,Inorganic,Metal Oxide,10,-50,Negative,KCl,KCl,30~60,N,1~3
