accession,protein_name,category
P18428,Lipopolysaccharide-binding protein,Transport/Binding
Q5TB80,Centrosomal protein of 162 kDa,Other/Mixed
O95445,Apolipoprotein M,Apolipoproteins
P17936,Insulin-like growth factor-binding protein 3,Transport/Binding
P08727,"Keratin, type I cytoskeletal 19",Cytoskeletal
P00746,Complement factor D,Complement System
P67936,Tropomyosin alpha-4 chain,Cytoskeletal
P04406,Glyceraldehyde-3-phosphate dehydrogenase,Metabolic Enzymes
P01700,Immunoglobulin lambda variable 1-47,Immunoglobulins
P05452,Tetranectin,Other/Mixed
P61626,Lysozyme C,Metabolic Enzymes
P62805,Histone H4,Other/Mixed
P27918,Properdin,Complement System
P01031,Complement C5,Complement System
Q9Y490,Talin-1,Cytoskeletal
P61224,Ras-related protein Rap-1b,Other/Mixed
P13671,Complement component C6,Complement System
P80748,Immunoglobulin lambda variable 3-21,Immunoglobulins
P09211,Glutathione S-transferase P,Metabolic Enzymes
P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins
P07355,Annexin A2,Cytoskeletal
P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins
P08514,Integrin alpha-IIb,Cytoskeletal
Q9BXR6,Complement factor H-related protein 5,Complement System
P63104,14-3-3 protein zeta/delta,Other/Mixed
P04217,Alpha-1B-glycoprotein,Transport/Binding
P01019,Angiotensinogen,Other/Mixed
P36955,Pigment epithelium-derived factor,Transport/Binding
P35858,Insulin-like growth factor-binding protein complex acid labile subunit,Transport/Binding
P05109,Protein S100-A8,Other/Mixed
Q6Q788,Apolipoprotein A-V,Apolipoproteins
P35442,Thrombospondin-2,Transport/Binding
P02730,Band 3 anion transport protein,Cytoskeletal
P35579,Myosin-9,Cytoskeletal
P60660,Myosin light polypeptide 6,Cytoskeletal
P08709,Coagulation factor VII,Coagulation/Fibrinogen
P63261,"Actin, cytoplasmic 2",Cytoskeletal
P23528,Cofilin-1,Cytoskeletal
Q96IY4,Carboxypeptidase B2,Protease/Inhibitors
P49747,Cartilage oligomeric matrix protein,Transport/Binding
P27105,Stomatin,Other/Mixed
P07357,Complement component C8 alpha chain,Complement System
P01880,Immunoglobulin heavy constant delta,Immunoglobulins
P06733,Alpha-enolase,Metabolic Enzymes
P19652,Alpha-1-acid glycoprotein 2,Transport/Binding
P62937,Peptidyl-prolyl cis-trans isomerase A,Metabolic Enzymes
P02533,"Keratin, type I cytoskeletal 14",Cytoskeletal
P05106,Integrin beta-3,Cytoskeletal
P18206,Vinculin,Cytoskeletal
P08519,Apolipoprotein(a),Apolipoproteins
P26038,Moesin,Cytoskeletal
P48740,Mannan-binding lectin serine protease 1,Protease/Inhibitors
P51884,Lumican,Other/Mixed
P10643,Complement component C7,Complement System
