,np_subtype,zp_solvent,hd_solvent,mod_type,mod_charge,np_type,zp_charge,incub_time,zp_mv,agitation,washing_steps,size_nm
P00742,0.110116266,0.039610203,0.045244344,0.053305678,0.04014308,0.029125944,0.030054191,0.051474966,0.063330665,0.027379578,0.034801267,0.020982368
P0C0L4,0.081907906,0.036707073,0.050318968,0.03434111,0.04337023,0.057350744,0.02460384,0.048932813,0.015516941,0.021579878,0.020117119,0.032502063
P55056,0.115800336,0.061187856,0.04474833,0.048328917,0.0443328,0.055446554,0.020612648,0.05495388,0.02361389,0.023900611,0.023111068,0.028389227
P01860,0.08769631,0.050391875,0.03853771,0.039292578,0.030150061,0.03374002,0.03330086,0.061660975,0.032255076,0.038437914,0.02849409,0.019496743
P02776,0.09697701,0.07012254,0.055503957,0.059556127,0.10846261,0.061923116,0.034323405,0.036224067,0.020230418,0.030292269,0.014956717,0.017091228
P02787,0.08164093,0.07140066,0.055051595,0.05819332,0.04993091,0.044371612,0.05003481,0.05433748,0.020310294,0.019264894,0.012043233,0.017654773
P02749,0.073453575,0.099340454,0.076171175,0.08624434,0.023844004,0.031416766,0.025817212,0.04959761,0.02199194,0.030611118,0.018032916,0.015602012
Q14624,0.10105173,0.047422145,0.04066339,0.056780078,0.047764886,0.070090614,0.048070632,0.06876151,0.028657194,0.036703434,0.029373068,0.016527185
P07225,0.12306257,0.08575754,0.05107709,0.040986247,0.035835605,0.04230391,0.01666806,0.04825893,0.037012883,0.031702094,0.016507797,0.028810974
P02760,0.08849873,0.08832869,0.044325136,0.0394832,0.044658266,0.024527993,0.044543754,0.04719241,0.033917513,0.02225051,0.03028832,0.019050475
P0DOX7,0.055779487,0.032903556,0.03636513,0.017890621,0.014203054,0.009477067,0.010631191,0.012089005,0.03560961,0.027626356,0.012344043,0.015712941
P0DJI8,0.07133886,0.05819409,0.04714185,0.027033012,0.029142505,0.031154055,0.058544535,0.040184584,0.03485563,0.015323661,0.032564994,0.02145446
P04264,0.1283036,0.07781083,0.070068896,0.055617392,0.032176785,0.019080251,0.025283461,0.014898387,0.044863086,0.025737882,0.06683959,0.021379534
P27169,0.11138074,0.090306595,0.06743406,0.059854556,0.042639703,0.016065765,0.016372712,0.04369814,0.029714841,0.020661276,0.017864164,0.03536453
P03952,0.095131315,0.050427854,0.046789348,0.079737365,0.07899285,0.079661444,0.09705621,0.034016922,0.067787714,0.026172627,0.022348745,0.021283904
P05154,0.11674148,0.040060505,0.03763219,0.048877295,0.08371532,0.09187235,0.055126913,0.04480016,0.038351033,0.038955025,0.024076968,0.011719805
P00747,0.08202471,0.085136525,0.075569846,0.075708166,0.061795354,0.067426816,0.06432223,0.034060594,0.04506607,0.016641915,0.024305524,0.02346606
P01861,0.075123325,0.060715307,0.056402702,0.044334106,0.05061096,0.025358707,0.046170406,0.036858063,0.025346156,0.019135658,0.030349325,0.03962433
P00738,0.061474375,0.050959624,0.054390956,0.034870155,0.06848965,0.0333841,0.08459568,0.016376298,0.018823981,0.044989564,0.025357097,0.017222226
P02746,0.065906726,0.091188185,0.06826685,0.06505449,0.047360502,0.015437648,0.030344848,0.013548682,0.04252148,0.017325806,0.022666398,0.016127307
P01764,0.093713835,0.06289073,0.03689743,0.055137284,0.03002372,0.04040112,0.016571742,0.08310634,0.038612433,0.024731193,0.032295547,0.02020223
P00739,0.091538325,0.07494997,0.046585232,0.050305832,0.038437527,0.04677515,0.039525114,0.07052634,0.025628831,0.029037546,0.04040088,0.022632021
P60709,0.12680924,0.038502913,0.046341892,0.024547976,0.025044065,0.021082666,0.054199863,0.036236513,0.042933024,0.03535947,0.04705345,0.029047972
P06396,0.0775944,0.07747625,0.08384116,0.053105853,0.053882558,0.079506524,0.03442041,0.038145564,0.022269761,0.01550654,0.013700704,0.030240625
P10720,0.07589944,0.040470686,0.043614164,0.03956709,0.08326655,0.047940154,0.027912732,0.03797128,0.02566506,0.018369578,0.014970379,0.042034857
P02788,0.107093655,0.04990115,0.062443107,0.060979784,0.114748634,0.09277858,0.052540265,0.019085165,0.028755244,0.04520944,0.013919619,0.0234773
P13645,0.15532936,0.059637196,0.035799127,0.023222793,0.028238669,0.042195577,0.016447408,0.028525624,0.026432017,0.048865277,0.08765171,0.01767921
P06702,0.11141527,0.049593538,0.059826903,0.044342015,0.027403792,0.08383703,0.02517443,0.029908076,0.024956293,0.047064453,0.019788863,0.033705797
P02747,0.08269167,0.08925643,0.058244728,0.06620177,0.027260657,0.0159537,0.022271425,0.017039392,0.03424622,0.020578671,0.031925865,0.016846543
P00740,0.113165535,0.06475295,0.042025585,0.05888757,0.04437544,0.023653384,0.021893434,0.042451095,0.058025412,0.04874203,0.01954447,0.026055332
P01023,0.074039385,0.05148836,0.04673097,0.03157742,0.03459562,0.0593914,0.037593074,0.058541853,0.04644646,0.021129094,0.019521832,0.020255266
P01766,0.06888396,0.07393701,0.06782393,0.039555945,0.029965073,0.034583338,0.03391401,0.025516227,0.037711415,0.015927846,0.03939275,0.026707914
