Bootstrap_iteration,F1,AUROC,AUPRC,MCC,Median_r,1-TVD,Cosine
1,0.7521875777892681,0.9027845856826392,0.8552039562002607,0.6117503979838217,0.6000502787099926,0.6300349147852798,0.7595026270565868
2,0.6768867205440307,0.8764964064094845,0.7925893866022385,0.5378511002800521,0.5442746620387615,0.5986296795603853,0.7229694656221948
3,0.755765464404124,0.9097260621566915,0.8628686387292895,0.6136759882880133,0.6425156988830196,0.6301066233992136,0.7591825522688196
4,0.7023222761121598,0.8986182002566351,0.8344054644046478,0.5606265749170267,0.5966151091871195,0.6258535623758159,0.7673336998679584
5,0.7372783709198104,0.9102061272929192,0.8510452945391718,0.6043444059404323,0.6135074287073571,0.6119615910435992,0.74803105382711
6,0.7033981066891541,0.911968865932757,0.8496492565817354,0.5716467382984832,0.603634196847967,0.6035446153833172,0.7470445484106951
7,0.699307388443702,0.888118949959464,0.828183452070419,0.556952466641177,0.5292660607856456,0.5921661577450061,0.7212897284363171
8,0.7305259813901767,0.9070792934623596,0.8421095294829444,0.5923200683805864,0.6088103141589339,0.6152125064651995,0.74546015779093
9,0.7245397219386635,0.8941833941760823,0.831059330795695,0.5795574778341006,0.5707725155366652,0.6168505501435562,0.750783979009408
10,0.7136983351576097,0.8965716910089591,0.8126389733511854,0.5782638611065858,0.5802277275832926,0.611824874563539,0.7429833588484764
11,0.703074048954879,0.8989777926073876,0.8053647341001728,0.5862760540216178,0.6260392832253695,0.6237945761432758,0.7827180710967887
12,0.720693232172637,0.9023247388714032,0.8403226900434584,0.5769363634923522,0.5897199937706379,0.618001936341957,0.7447770922907935
13,0.6653648918846683,0.8866888006322423,0.8063749403807821,0.5279089263518602,0.5226004471104972,0.5891107596078836,0.7189255448779657
14,0.7511135370820426,0.921427769918168,0.8553216585209005,0.6250290767330424,0.6155787082233392,0.652064850500669,0.7955334772088472
15,0.7274502858925498,0.9182255096066145,0.8571027766505865,0.6022827089396556,0.5991526671929539,0.6315388632372392,0.7673060309231807
16,0.694585409502109,0.9067390777727878,0.8007484631773077,0.5891315725589482,0.5996773308294485,0.6270236849075816,0.7744893589227819
17,0.7535297590154239,0.9268408527423652,0.8614413728249548,0.6477896748494997,0.6876531586827361,0.6731897090478736,0.8055503757813179
18,0.7465766314731664,0.9152513355524035,0.8548517393590105,0.6228694125928382,0.5925380578932417,0.6144276138263974,0.7466699701676595
19,0.7218767779331081,0.9035476039278142,0.8105049342303832,0.5979665266413244,0.5906129391890791,0.607108420830502,0.7394433720600786
20,0.6880823834407326,0.886120967688735,0.8144455134093818,0.5549677818710216,0.5417410536471008,0.6015784710745136,0.7356331135411291
21,0.671748871666846,0.8723721545182607,0.8047011865784135,0.5057247167825973,0.5114231447720545,0.5910277221851548,0.7331352212875499
22,0.7687588329762359,0.9102082980520517,0.8591715018792778,0.6212668475581422,0.5947302031152424,0.6321886977652629,0.7520463652511964
23,0.7752523342134343,0.9225921713074144,0.8760661445015223,0.634001773016459,0.6415482215988051,0.6302526973122575,0.7477795712268689
24,0.7240277105216026,0.9046418690909994,0.8405073286664378,0.5896049060356913,0.6301437756086177,0.6318731280001207,0.77446240713147
25,0.753748522258112,0.904897413067873,0.8565536560043997,0.6023802240784277,0.5659388296167508,0.6176674423970948,0.7584391423983371
26,0.7290162971098262,0.9034191838633369,0.849582663545166,0.5810877355931715,0.5890963011501291,0.6156859669076804,0.7436548931612179
27,0.7043482886144736,0.9141885009582533,0.8362720162763381,0.5832824690218337,0.6181703259653892,0.622473071347222,0.7562405782274437
28,0.689320611789688,0.8758161982346108,0.7911000168340702,0.5405510414344409,0.557183461824721,0.5840292686343636,0.6975424959434571
29,0.7253210049572446,0.8950260154449915,0.8287596526834207,0.5854292567958945,0.5798905718482021,0.5868324004798027,0.7050974049342166
30,0.7909440684377536,0.9327275181857364,0.8899268531225053,0.6796501925360285,0.694369363959533,0.6735595382481746,0.8094650559752121
31,0.7732534401911796,0.9075215947374878,0.863764375064006,0.6211519241020592,0.618771821199547,0.6510242135079723,0.7813408134694902
32,0.7920978384028858,0.9456259552746837,0.9067093771789625,0.700500321713037,0.7066459112885055,0.6604793026574722,0.8007666165215614
33,0.7526649749870093,0.9216303150423096,0.8614564940681095,0.640985539362148,0.6445565982006665,0.6469111966137333,0.7795344414846286
34,0.7080416406956261,0.9020567387459102,0.8307239778082075,0.5715934004102926,0.5617942079405054,0.5973032163777907,0.725772848463708
35,0.7568114908982445,0.92005293373527,0.8616949501559943,0.6295812040481756,0.5936822371333803,0.637802480178704,0.7730418695435715
36,0.7491135410613873,0.9177174609778883,0.8760654552354106,0.6219016852363254,0.5892769638596952,0.6242534786258853,0.7618560275672356
37,0.7280351329107596,0.8942320450029088,0.8510024093418468,0.56877271493888,0.5666277294853079,0.6006157844724935,0.7164602257737425
38,0.7426176168138912,0.9035482893757829,0.8553685220208345,0.5942519085978937,0.6358613472886243,0.6324513664937259,0.7634899710690526
39,0.7468587088318459,0.9143389153659374,0.8764113240788198,0.6067771421446774,0.6013868817650819,0.6308067422810766,0.7622399838684389
40,0.7337025690169985,0.89490320147192,0.8415733761851368,0.5804549036393977,0.5852555253352787,0.6110086994151434,0.7403001830320043
41,0.7401762816199723,0.8992216805838528,0.8484036366969285,0.5840218836005177,0.5542015970448817,0.6138823833627994,0.7288834863156972
42,0.7317455995337885,0.9113258106735956,0.8529382014577492,0.5972094395102597,0.6432027238627105,0.640508621737459,0.7866483557178428
43,0.7083641075689546,0.8903620341427253,0.8003263262646,0.5672415957517241,0.5282216550274034,0.6026266263767855,0.7322385797911118
44,0.7357361946594693,0.9043026271309819,0.8457577766345465,0.597465119359221,0.5958960095620955,0.6127473712469428,0.751084786251039
45,0.7440831852309362,0.910388476971349,0.8535448539830456,0.6071729080473267,0.5930918108302099,0.6214751913710237,0.7536623018796659
46,0.7188947464518769,0.9050401631362023,0.823042513052817,0.5850046052941653,0.5692704313252623,0.6168686402113288,0.7527970746893016
47,0.7262633011541952,0.9089823471212024,0.8296142748845486,0.6059422792000642,0.5939259053522804,0.6278114978481332,0.7632823219469648
48,0.7193153783851945,0.900955227634693,0.838151217508443,0.5816413037718261,0.5850694689117757,0.6110805792944477,0.7645583069876306
49,0.7266253862095705,0.9073007439104184,0.8512378048992947,0.5829816652590433,0.5523080096137463,0.6040063537569689,0.7404502357545246
50,0.7125834152641567,0.9010781451103753,0.8338969695715979,0.5729462952780587,0.5770888849480377,0.6349163319189207,0.7797855465385972
51,0.7278717289944111,0.9111487600895958,0.8449770407610301,0.5982847819669056,0.629556573403399,0.6026724594676802,0.7254762959041237
52,0.728084403139328,0.9149548627651413,0.8427708879859644,0.6179667151545558,0.6062004979681375,0.6064540515781085,0.7590987533684045
53,0.7522995728064525,0.9096367142836195,0.858144691577956,0.6202423879838599,0.6213868811411716,0.6325273107724392,0.756012733332421
54,0.7582703993416812,0.9340252339379581,0.8760638033694423,0.6670137969192645,0.6811184385675211,0.6436706604252316,0.7647660092623461
55,0.7445796585227555,0.9148498336387377,0.8538176410326451,0.6212808009333146,0.6098077727685987,0.6404380873576706,0.7751637021764904
56,0.7568786405594311,0.9219936719105838,0.8708563216959727,0.6386146250553302,0.6703827920181136,0.6459569356717545,0.7753158883067648
57,0.7467502774069008,0.9262785990963102,0.8761053841852019,0.6311143450700696,0.6615264977049973,0.65911701035391,0.8177964154979879
58,0.7811035923286894,0.9411631182417853,0.9063365855336744,0.6606223696945291,0.683122705916241,0.6615643284015313,0.7988024409288362
59,0.7062610312895503,0.8984226248014259,0.8133801461533605,0.5747369809062363,0.5738356785780613,0.6170457870510093,0.7552215025215083
60,0.7531320978753115,0.9109696523753941,0.855729028567629,0.6177931960972709,0.6398825784605302,0.6325502212841101,0.7687584352543883
61,0.7607667736187562,0.9186238384080283,0.8685750040886023,0.6258394459839866,0.6653025725880963,0.6526297537550969,0.7921713262017069
62,0.7442574852008871,0.9158276600797017,0.8617186178639795,0.6200111102381619,0.6465490515854484,0.6551349745732091,0.802552421372166
63,0.7259375194210425,0.90318024262123,0.8323828933706369,0.5901305496478346,0.613708349097202,0.618398948544451,0.7446439279901245
64,0.7328742781488515,0.9244429180140635,0.8608116113668277,0.6159682047135986,0.6095971906817663,0.6268054580304472,0.7639268668394902
65,0.7421515127305645,0.908959895509968,0.8429443362646751,0.6113956933266912,0.5970043211262961,0.6460111572861281,0.7814628725596299
66,0.7304725517950265,0.9025205072376216,0.8491327783614744,0.5946498469337125,0.6262083962856394,0.6315852219246797,0.7541699081707953
67,0.696339037673748,0.8715074728430952,0.8047018277503386,0.5270350866019613,0.5609217351993763,0.5954960283210221,0.7054692008100848
68,0.7197797225543779,0.915538005872192,0.8423759874779637,0.6004981526628919,0.622060184023595,0.6356684468049172,0.7808808151868218
69,0.7494855208820734,0.9093140373956998,0.8645813519208884,0.6162958472453115,0.6119927576669265,0.6274148282642094,0.7601983651825468
70,0.6993649728518491,0.8972780479833482,0.8151140321778579,0.5854201226944462,0.5814565759215395,0.6153523929660911,0.7440493080564281
71,0.7553667053395099,0.916343063749161,0.8569793198411979,0.6315517812213661,0.5884094604369041,0.620635744192062,0.7659871297749973
72,0.7616338442006664,0.9215981014249716,0.8681531012962413,0.6277872411354255,0.6610646890186979,0.6218009012484156,0.7421879146698274
73,0.6847854735036032,0.9006298623739715,0.8229293216242203,0.5508497582755802,0.5745309397805612,0.6016470487385916,0.732740101486588
74,0.7189888234029705,0.8849272524543754,0.8332477681143113,0.5558147096022394,0.5421750865244304,0.6028710286686148,0.7385842530115376
75,0.7164974783938558,0.8943217621784617,0.8359492830791078,0.5787919182754011,0.5996541757385612,0.6160714582481601,0.7532712660476096
76,0.7232710224984689,0.9019342602911508,0.8302085183627568,0.5701177460283641,0.5888551171528751,0.6242350989493174,0.7474977698404357
77,0.7344060068671201,0.8951274457642313,0.8346905446552605,0.576425362498347,0.5480178054758424,0.5853584183711465,0.6960257419372909
78,0.7468927213040567,0.9086050770334227,0.8520539128554085,0.6210331768194696,0.5926385861550489,0.6288370020976173,0.7659783954072827
79,0.7230171062497485,0.906614251908702,0.8365800223190465,0.5978321798619608,0.575553545665006,0.6215670397585834,0.7634684989807279
80,0.6864128739114888,0.8850154750575608,0.8067548661632639,0.5446924060878008,0.5404171854384998,0.6225939678074657,0.7702311148125006
81,0.7352271456894356,0.9089355511403686,0.8549037441437077,0.5919764109750226,0.5906737970849472,0.6152084608761631,0.7553335066130282
82,0.6848308990034253,0.8873096407683508,0.8007751900753981,0.5427229347550427,0.5737641956554052,0.6042812599913392,0.7309366521563441
83,0.7560119503678127,0.9308326777778617,0.8606471246752937,0.6480323346047246,0.6454887068694048,0.6490902126018908,0.7938049269660176
84,0.7350551678363525,0.8997199832938666,0.8416504640914438,0.5929715438039642,0.5885070643592488,0.6043506075314832,0.7397511739079814
85,0.7334210409431922,0.9244198019879255,0.8551309059819113,0.6231546737704725,0.6211193483154174,0.6277902008322179,0.7619610090807079
86,0.6933252636328164,0.9015611253955989,0.8157281475707358,0.5716543893080392,0.5850062377270295,0.6110688983784134,0.7416115591429031
87,0.7427372194278897,0.9104234213575804,0.8428972258384569,0.6162999681230188,0.608037724850113,0.6105605264101053,0.7378329542813336
88,0.7093105791975438,0.8927734426637632,0.8127722741530431,0.5724666240934628,0.5678149837758298,0.61437143348119,0.7475837421587548
89,0.6716379524005349,0.8802849625574362,0.7875341422204541,0.5321591791875406,0.5285527583657563,0.5812545059142644,0.7247029855679512
90,0.6717721939244995,0.8853906676112978,0.7913525731602418,0.5295535233948805,0.5316866981924637,0.6037834592165136,0.7362531775695299
