Head,Metric,Point_estimate,Bootstrap_mean,Bootstrap_SD,CI95_lower,CI95_upper
Adsorption,F1,0.7344531788159386,0.7294347854374269,0.029089996829622673,0.6692748307862368,0.7828076707994032
Adsorption,AUROC,0.9059326651801001,0.906108179063371,0.015371034454012276,0.8738047453322909,0.9340010393626474
Adsorption,AUPRC,0.8369524652785311,0.8417199336347079,0.02735492970777753,0.7835791853410476,0.8895564069568116
Adsorption,MCC,0.5968070764638805,0.5951874366383486,0.03600354599649043,0.5225709650825118,0.6637488779391526
Abundance,Median_r,0.6004608629855327,0.6020134599825638,0.03986314149163231,0.5207741740895563,0.6779848313981125
Abundance,1-TVD,0.6231473732847643,0.6232925566036445,0.02078085284276038,0.5818851147106908,0.663226292977769
Abundance,Cosine,0.7578297939259635,0.7579703315219962,0.024946395984954343,0.706769104543289,0.8048335195617017
