Variant,Model,N_seeds,Median_r_mean,Median_r_sd,1-TVD_mean,1-TVD_sd,Cosine_mean,Cosine_sd,Adsorption_F1_mean,Adsorption_F1_sd,Adsorption_AUROC_mean,Adsorption_AUROC_sd,Adsorption_AUPRC_mean,Adsorption_AUPRC_sd
abundance_only,Abundance-only,5,0.6000388008655589,0.05273076798031928,0.6191800581207836,0.017778290290385676,0.7735211007694852,0.020435981882907215,,,,,,
two_head_no_gate,Two-head without gating,5,0.6314495284389932,0.03389422991296551,0.635167521855783,0.013563320215342437,0.7786668319687111,0.013290551111338533,0.7440639536333684,0.023593254475471528,0.9199158920472792,0.011912989312672258,0.8539699327000078,0.021948456971780706
two_head_gated,Two-head with gating,5,0.6369375034086792,0.04122821980645548,0.6424265101223747,0.01919243002170736,0.7814894034948632,0.019533553941231196,0.747783698817263,0.020900097897525772,0.920036230096114,0.01277861315882389,0.8543755952910418,0.025615181185979725
