Model,N_seeds,Median_r_mean,Median_r_sd,Median_r_formatted,1-TVD_mean,1-TVD_sd,1-TVD_formatted,Cosine_mean,Cosine_sd,Cosine_formatted
Abundance-only,5,0.6000388008655589,0.05273076798031928,0.600 ± 0.053,0.6191800581207836,0.017778290290385676,0.619 ± 0.018,0.7735211007694852,0.020435981882907215,0.774 ± 0.020
Two-head without gating,5,0.6314495284389932,0.03389422991296551,0.631 ± 0.034,0.635167521855783,0.013563320215342437,0.635 ± 0.014,0.7786668319687111,0.013290551111338533,0.779 ± 0.013
Two-head with gating,5,0.6369375034086792,0.04122821980645548,0.637 ± 0.041,0.6424265101223747,0.01919243002170736,0.642 ± 0.019,0.7814894034948632,0.019533553941231196,0.781 ± 0.020
