Comparison,Interpretation,Metric,N_pairs,Mean_difference,SD_difference,Median_difference,CI95_lower,CI95_upper,Wilcoxon_p,Positive_pairs,Negative_pairs,Zero_pairs
B - A,Multitask learning effect,Median_r,5,0.031410727573434195,0.02196762178886983,0.03412184151619069,0.014389963838759479,0.04843149130810891,0.0625,5,0,0
B - A,Multitask learning effect,1-TVD,5,0.015987463734999374,0.009056644155508362,0.018273919997404797,0.008915010982030114,0.023059916487968634,0.0625,5,0,0
B - A,Multitask learning effect,Cosine,5,0.005145731199225967,0.010845132794901553,0.004068184361599836,-0.0023114092061778503,0.014572067090090578,0.4375,3,2,0
C - B,Incremental gating effect,Median_r,5,0.005487974969686093,0.011449147048586164,0.008225429326530365,-0.0029813965697673916,0.013957346509139578,0.3125,3,2,0
C - B,Incremental gating effect,1-TVD,5,0.007258988266591726,0.007981864215441382,0.007985006100799552,0.0007900668520273823,0.01302938289634863,0.1875,4,1,0
C - B,Incremental gating effect,Cosine,5,0.0028225715261520623,0.006572812265259059,0.004857790538455475,-0.0026784453049317537,0.007550999956346893,0.625,3,2,0
C - A,Full architecture effect,Median_r,5,0.03689870254312029,0.02326268743827198,0.047794317023867494,0.01895508397297858,0.054842321113261996,0.0625,5,0,0
C - A,Full architecture effect,1-TVD,5,0.0232464520015911,0.009961330875258918,0.020616613168446207,0.016369457560033985,0.031257898186438364,0.0625,5,0,0
C - A,Full architecture effect,Cosine,5,0.007968302725378029,0.01079372936936905,0.004158302953475634,-0.00046302535576094874,0.016399630806517008,0.3125,3,2,0
