Abundance_tertile,N_proteins,N_valid_r,Median_r,Q1,Q3,IQR,Min_r,Max_r
High,58,58,0.6097118854522705,0.47485391050577164,0.7190281003713608,0.24417418986558914,0.13754132390022278,0.9993796944618225
Middle,58,58,0.6334466338157654,0.4215601161122322,0.795588493347168,0.37402837723493576,-0.03390339016914368,0.9994704127311707
Low,58,58,0.5346156656742096,0.20785502344369888,0.7816834300756454,0.5738284066319466,-0.046904001384973526,0.9964920282363892
