Test_sample,protein,protein_name,category,abundance_tertile,pearson_r,Observed,Predicted
57,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.004298117011785507,0.015486248768866062
58,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.02999855764210224,0.015013337135314941
59,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.005363172385841608,0.015434158965945244
60,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.023798931390047073,0.019059350714087486
61,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.013364912010729313,0.020042654126882553
62,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.013366303406655788,0.019475914537906647
63,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.022549472749233246,0.02395624667406082
64,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.08598794788122177,0.015030758455395699
65,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.032646045088768005,0.027624132111668587
66,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.028237231075763702,0.013454840518534184
67,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.005001530982553959,0.006202281452715397
68,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.004520341753959656,0.006202281452715397
69,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.0,0.0018568068044260144
70,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.002186588943004608,0.007302124053239822
71,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.004082914441823959,0.008073038421571255
72,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.010749150067567825,0.010185379534959793
73,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.012013062834739685,0.018762413412332535
74,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.010165863670408726,0.018762413412332535
75,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.008619647473096848,0.018762413412332535
76,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.006664583925157785,0.0032504682894796133
77,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.0065194531343877316,0.0032504682894796133
78,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.0,0.0032504682894796133
79,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.0,0.0032504682894796133
80,P01871,Immunoglobulin heavy constant mu,Immunoglobulins,High,0.8808028101921082,0.0,0.0031019733287394047
1,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.018497584387660027,0.014875244349241257
2,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,0.017540238797664642
3,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.00801253505051136,0.006439997814595699
4,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.008607096038758755,0.006654172204434872
5,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.010852432809770107,0.011502960696816444
6,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.004899945110082626,0.009389033541083336
7,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.03139013424515724,0.024153685197234154
8,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.010077135637402534,0.009311588481068611
9,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.004750021733343601,0.005151497200131416
10,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,0.0015597195597365499
11,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,0.008046635426580906
12,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.001276595750823617,0.009281458333134651
13,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.003659976413473487,0.004488335456699133
14,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.008114958181977272,0.02308710105717182
15,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.009235835634171963,0.017099076882004738
16,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.020904481410980225,0.023926639929413795
17,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.02136904001235962,0.02161526307463646
18,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.026916902512311935,0.007668874226510525
19,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.00020035078341607004,0.028129305690526962
20,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0029397746548056602,0.01301607210189104
21,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0011014594929292798,0.006477676331996918
22,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,0.0007588414009660482
23,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,0.006382755469530821
24,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0014114412479102612,1.6191905160667375e-05
25,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,1.1460883797553834e-05
26,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,0.00015417813847307116
27,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,7.205614383565262e-05
28,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.003396636573597789,0.004545959178358316
29,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0015847759786993265,0.004545959178358316
30,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.002810862148180604,0.004473308566957712
31,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.007846501655876637,0.008108995854854584
32,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.008445112966001034,0.010061796754598618
33,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.008445112966001034,0.008566530421376228
34,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.008168082684278488,0.00943559780716896
35,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0010802468750625849,0.0015840542037039995
36,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0036880443803966045,0.0017228592187166214
37,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0018428285839036107,0.004914725665003061
38,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.009665747173130512,0.008505459874868393
39,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.01630770042538643,0.008714534342288971
40,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,0.0008491839980706573
41,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,0.00012263827375136316
42,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,0.004995064344257116
43,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,0.00047773250844329596
44,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,0.0034439675509929657
45,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.02667844481766224,0.0007527666166424751
46,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,0.0044332388788461685
47,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0005312797147780657,0.008935664780437946
48,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.004123144317418337,0.011890733614563942
49,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.03198262304067612,0.011841659434139729
50,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,0.028408270329236984
51,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.05949487164616585,0.04692089930176735
52,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.00999247096478939,0.032089248299598694
53,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.018056152388453484,0.02264554426074028
54,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.00636246195062995,0.012780402787029743
55,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.013077863492071629,0.009909898974001408
56,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.019320322200655937,0.010870363563299179
57,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.005104202311486006,0.009409511461853981
58,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0035625218879431486,0.01521558128297329
59,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0056611825712025166,0.009661507792770863
60,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.03376501426100731,0.03205235302448273
61,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.031945399940013885,0.03395742550492287
62,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0062788547948002815,0.021475056186318398
63,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.007934793829917908,0.04657665267586708
64,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.004695212934166193,0.009370445273816586
65,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.032599274069070816,0.028978638350963593
66,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.014640799723565578,0.012537122704088688
67,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.013371440581977367,0.011634813621640205
68,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.00020090406178496778,0.011634813621640205
69,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,1.3628385204356164e-05
70,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.016867971047759056,0.014488309621810913
71,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.00031407034839503467,0.004751877393573523
72,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.009981353767216206,0.005723091308027506
73,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.01446232758462429,0.007366933394223452
74,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.002675227355211973,0.007366933394223452
75,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0018921177834272385,0.007366933394223452
76,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,4.337494829087518e-05
77,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,4.337494829087518e-05
78,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,4.337494829087518e-05
79,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,4.337494829087518e-05
80,P01009,Alpha-1-antitrypsin,Protease/Inhibitors,High,0.6172736883163452,0.0,3.633543019532226e-05
1,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0037160718347877264,0.006371626164764166
2,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.005399162881076336
3,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,4.8312372200598475e-06
4,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,5.493430762726348e-06
5,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.001796421711333096
6,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.004964952357113361,0.006109345238655806
7,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.0026219445280730724
8,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.004170281812548637,0.006736636161804199
9,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.005298924632370472,0.0014851337764412165
10,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.011849927715957165,0.005526372697204351
11,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0033080813009291887,0.004071168601512909
12,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.004680851008743048,0.003664949908852577
13,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0105076739564538,0.0012569524114951491
14,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0008952030912041664,0.0009690053411759436
15,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0010023388313129544,0.0009578754543326795
16,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0021388984750956297,0.0009217237820848823
17,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0017540038097649813,0.009741213172674179
18,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0029381895437836647,0.0020629120990633965
19,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.017016615718603134
20,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0008125191670842469,0.0032719294540584087
21,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0004711561487056315,0.0013269968330860138
22,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0971088707447052,0.18186017870903015
23,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.07498856633901596,0.020698044449090958
24,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0023618408013135195,0.0013409614330157638
25,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.0010885981610044837
26,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.0006692148745059967
27,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.004559957887977362
28,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.020436301827430725,0.038213100284338
29,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.024145420640707016,0.038213100284338
30,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.028922734782099724,0.03875381872057915
31,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,3.3610962418606505e-05
32,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,8.394747055717744e-06
33,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,5.629767656500917e-06
34,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,1.8659762645256706e-05
35,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,2.8058360840077512e-05,0.00010452350397827104
36,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.00025750952772796154
37,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0010307346237823367,4.503932359511964e-05
38,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.021562673151493073
39,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.012434489093720913,0.023761948570609093
40,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.00035488864523358643
41,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.0016743246233090758
42,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.055734917521476746,0.005688180215656757
43,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.044203877449035645,0.0026776932645589113
44,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.00032664547325111926
45,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.028798585757613182,0.0021004260051995516
46,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.0012892690720036626
47,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.027064351364970207
48,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.007543586660176516,0.04595766216516495
49,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.006858929060399532,0.04646621271967888
50,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.0027245974633842707
51,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.006017015315592289
52,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.05857211723923683
53,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.008994576521217823
54,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.010136661119759083,0.003854766022413969
55,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.11036527156829834,0.04193207249045372
56,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0669354572892189,0.046465914696455
57,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.03700185567140579
58,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.0034859548322856426
59,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.002959830453619361,0.0412132628262043
60,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.11308199912309647,0.024275168776512146
61,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.02660350874066353,0.023863572627305984
62,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.009150792844593525,0.010155156254768372
63,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.00046061110333539546,0.006431147921830416
64,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0010914155282080173,0.042955026030540466
65,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0045440467074513435,0.0035316708963364363
66,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.2079295516014099,0.044647518545389175
67,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0010207205777987838,0.0025253593921661377
68,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.007232546340674162,0.0025253593921661377
69,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.004000000189989805,0.004341861233115196
70,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0009371095220558345,0.003081618109717965
71,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.0020436623599380255
72,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0009871668880805373,0.0016192824114114046
73,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0009330534376204014,0.001440372783690691
74,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.001440372783690691
75,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.001440372783690691
76,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.004581901710480452,0.0066613913513720036
77,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.011251314543187618,0.0066613913513720036
78,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.0,0.0066613913513720036
79,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.017896421253681183,0.0066613913513720036
80,P04003,C4b-binding protein alpha chain,Complement System,High,0.49160289764404297,0.006493506487458944,0.006487512495368719
1,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.015568877570331097,0.012189535424113274
2,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.006637522019445896
3,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.0002033126074820757
4,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.00021352952171582729
5,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.0009751469478942454
6,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.008917240425944328,0.014904631301760674
7,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.0030631807167083025
8,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.009341910481452942
9,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.0001538953511044383
10,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.00495664170011878
11,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.009704138152301311
12,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.0017058942466974258
13,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.0002734047011472285
14,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,6.56844349578023e-05
15,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,6.404535088222474e-05
16,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,1.134911690314766e-05
17,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.0007203075801953673
18,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,7.850084512028843e-05
19,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.013897931203246117
20,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.0012033645762130618
21,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,7.054677553242072e-05
22,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.012864849530160427,0.009290885180234909
23,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.03215973079204559,0.004884503316134214
24,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.0002638488367665559
25,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.00020239852892700583
26,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.00013474254228640348
27,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.03220737725496292
28,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.022385429590940475,0.018199069425463676
29,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.025289922952651978,0.018199076876044273
30,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.020934049040079117,0.01814989559352398
31,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.033638160675764084,0.033301860094070435
32,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.035614263266325,0.044497497379779816
33,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.035614263266325,0.03800405561923981
34,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.035128120332956314,0.02967369183897972
35,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0019219977548345923,0.002924662781879306
36,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0013346237828955054,0.004531497601419687
37,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.002654922427609563,0.018857011571526527
38,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.017047883942723274,0.012118812650442123
39,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.011791501194238663
40,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.07166699320077896,0.05694041773676872
41,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.03158613666892052,0.03751792013645172
42,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.020897645503282547
43,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.023906178772449493,0.02986840158700943
44,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.06971056014299393,0.05238670855760574
45,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.03112015314400196
46,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.0002566771290730685
47,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.0020752970594912767
48,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.002039089798927307,0.002856028964743018
49,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.002811814658343792
50,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0038082306273281574,0.017283303663134575
51,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.007358538918197155,0.004591336939483881
52,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.001647559111006558,0.0036242716014385223
53,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0,0.007991435937583447
54,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.005396065302193165,0.015353758819401264
55,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.00369729264639318,0.004047932103276253
56,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.004497643560171127,0.004096681252121925
57,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.0022441584151238203,0.003973003011196852
58,P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins,High,0.7835252285003662,0.006266617216169834,0.016475588083267212
