FPR,ROC_mean_TPR,ROC_CI95_lower,ROC_CI95_upper,Recall,PR_mean_precision,PR_CI95_lower,PR_CI95_upper
0.0,0.0,0.0,0.0,0.0,0.9597701149425287,0.9022988505747126,0.9770114942528736
0.005,0.45445237516534437,0.4194010657590877,0.5914686137439757,0.005,0.9603831417624522,0.9034265312273586,0.9773133261494253
0.01,0.45562799533573894,0.4203269721268702,0.592481877438678,0.01,0.9609961685823754,0.9048034871700031,0.9776236774134608
0.015,0.4727682096603828,0.437471055352486,0.6074566596360692,0.015,0.9616091954022988,0.9060628647992542,0.9779476878612716
0.02,0.5125792936886907,0.45906325071764026,0.6317198463509462,0.02,0.9622222222222224,0.9074675949689756,0.9782702586206896
0.025,0.5269375337187321,0.46734067828840353,0.6441773357113152,0.025,0.9628352490421458,0.9077736408108175,0.9785567528735631
0.03,0.545157244573591,0.4826864776920276,0.6610186634801912,0.03,0.9634482758620689,0.9082575229922111,0.9788224856321841
0.035,0.5663804468130608,0.49843932619418374,0.6773328762524913,0.035,0.9640613026819922,0.9088313234717866,0.9789141205318586
0.04,0.5799139165012779,0.5115052306436103,0.691074781791124,0.04,0.9646743295019155,0.9095732202268149,0.9789436143039592
0.045,0.6001969960836254,0.5242383806905813,0.7052152954386894,0.045,0.9614894636015326,0.9103564939473646,0.9788817066912973
0.05,0.6195776179321792,0.5393274539352438,0.7190578863238842,0.05,0.9622126436781608,0.9100464302818829,0.9781370929118773
0.055,0.6292321192216004,0.5517856467523977,0.7276775140602604,0.055,0.9629358237547891,0.9089469981527096,0.9783555136494253
0.06,0.638373239365006,0.5635488576067529,0.7402866426104767,0.06,0.9617624521072798,0.9099672508170751,0.9780808914674576
0.065,0.6560030753470799,0.5741929859802842,0.7484930539658472,0.065,0.962567049808429,0.9092843819331108,0.9784272715039398
0.07,0.670743796293207,0.5892271671266495,0.7587856856955241,0.07,0.9633716475095784,0.9097292378342595,0.9782610632183908
0.075,0.6814298722217753,0.6006555884272864,0.7673728751752259,0.075,0.9641403256704982,0.909115833034004,0.9783412612889983
