Protein,Training_mean_abundance,Abundance_tertile,Pearson_r,Category
O43866,0.0017111452517248596,Middle,0.9395350890743337,Other/Mixed
P35527,0.0023359756983828742,Middle,0.6994419463748953,Cytoskeletal
Q92954,0.0017359427012580634,Middle,0.8387512535775468,Other/Mixed
P02790,0.0016802958664981016,Middle,0.6676363239513513,Transport/Binding
P00748,0.001642968134547118,Middle,0.41463412169642183,Coagulation/Fibrinogen
P81605,0.0013464125141733523,Middle,0.5603277522589257,Other/Mixed
P00751,0.001456098865846138,Middle,0.5464289636215454,Complement System
P02745,0.0017079318905396503,Middle,0.8907887413543764,Complement System
P18065,0.0015147762364459633,Middle,0.9464226999052349,Transport/Binding
P01615,0.0015515215707390514,Middle,0.9309243504890493,Immunoglobulins
P49908,0.0013965119424516413,Middle,0.8339270822876241,Transport/Binding
Q13790,0.001213445994075335,Middle,0.6237669785347083,Apolipoproteins
P02774,0.0011646028475636048,Middle,0.7803203995227379,Transport/Binding
P12259,0.0012455741110846445,Middle,0.9020274502762904,Coagulation/Fibrinogen
Q13103,0.0011347373904809445,Middle,0.6818030105689383,Other/Mixed
P15169,0.00128631778251437,Middle,0.6314827604617148,Protease/Inhibitors
P20851,0.0011915800131178734,Middle,0.4493738492733397,Complement System
P07358,0.0011297715721724534,Middle,0.8073185284105293,Complement System
P01011,0.0012515339591284797,Middle,0.3654054192684627,Protease/Inhibitors
P02751,0.001091873322544037,Middle,0.6605038552291493,Transport/Binding
P07996,0.0010722784058812024,Middle,0.433242797861374,Transport/Binding
P02763,0.0010221968075350128,Low,0.5412215197768548,Transport/Binding
P09871,0.0010543847155322253,Middle,0.3597071623339231,Complement System
O75636,0.001130091397246722,Middle,0.7179649593732046,Complement System
P01591,0.0009774827325462485,Low,0.08944249705063895,Immunoglobulins
P00736,0.0011013358556170164,Middle,0.3630032874813849,Complement System
P07360,0.0009059830512175754,Low,0.605893652801729,Complement System
P02741,0.0008825581295952665,Low,0.7353117911045368,Other/Mixed
Q9UK55,0.0009192827697422593,Low,0.46951220332634036,Protease/Inhibitors
P18428,0.0009048581891573822,Low,0.3341548642618641,Transport/Binding
Q5TB80,0.0009244424426346408,Low,0.10288080002925536,Other/Mixed
O95445,0.0008252080997150268,Low,0.5154321169585594,Apolipoproteins
P17936,0.0009283056056994742,Low,0.9477674081722218,Transport/Binding
P08727,0.0014510187493932466,Middle,0.9710031718040566,Cytoskeletal
P00746,0.0008711897966298437,Low,0.8131197631144378,Complement System
P67936,0.0010366208028213168,Low,0.7800914437369411,Cytoskeletal
P04406,0.000738993031785299,Low,0.6242403058695045,Metabolic Enzymes
