Model,Metric,Random_score,Grouped_score,Absolute_change,Retention_pct,Relative_drop_pct
Two-head Model,F1,0.7344531788159386,0.6870141995799954,-0.0474389792359432,93.54091171442369,6.459088285576321
Two-head Model,AUROC,0.9059326651801,0.8544123671539946,-0.05152029802610536,94.31301022622216,5.686989773777844
Two-head Model,AUPRC,0.8369524652785311,0.7627781325857164,-0.0741743326928147,91.13756924437398,8.862430755626018
Two-head Model,MCC,0.5968070764638805,0.5248301675251235,-0.07197690893875708,87.93966898562518,12.060331014374828
Random Forest,F1,0.7919943169986778,0.7107747577935173,-0.08121955920516055,89.7449315655511,10.255068434448898
Random Forest,AUROC,0.9288494126070664,0.8644443098269201,-0.06440510278014633,93.06614162575869,6.933858374241314
Random Forest,AUPRC,0.8671754876667699,0.7815737101303013,-0.08560177753646858,90.1286672935383,9.871332706461699
Random Forest,MCC,0.6830956603287971,0.5626691352773736,-0.12042652505142348,82.37047429148384,17.629525708516155
Logistic Regression,F1,0.68959870612347,0.6405785396467856,-0.04902016647668439,92.89149384397084,7.108506156029174
Logistic Regression,AUROC,0.8797812976757255,0.8145955295901486,-0.06518576808557697,92.5906849511589,7.409315048841091
Logistic Regression,AUPRC,0.7804159686518677,0.7003590688420173,-0.08005689980985042,89.74176554227292,10.258234457727076
Logistic Regression,MCC,0.5386999159091811,0.4575653572140538,-0.08113455869512731,84.93882098381361,15.06117901618639
XGBoost,F1,0.7503781783039534,0.6529876731920357,-0.09739050511191771,87.0211437475374,12.978856252462615
XGBoost,AUROC,0.9118800789996008,0.845917095961045,-0.06596298303855574,92.76626559153239,7.23373440846761
XGBoost,AUPRC,0.8520187802688383,0.7576325824171841,-0.09438619785165414,88.92205195032528,11.077948049674724
XGBoost,MCC,0.6293946406849844,0.5023903432743394,-0.127004297410645,79.82119814804534,20.17880185195466
