Model,F1_Random,F1_Grouped,F1_Drop_pct,AUROC_Random,AUROC_Grouped,AUROC_Drop_pct,AUPRC_Random,AUPRC_Grouped,AUPRC_Drop_pct,MCC_Random,MCC_Grouped,MCC_Drop_pct
Two-head Model,0.7344531788159386,0.6870141995799954,6.459088285576321,0.9059326651801,0.8544123671539946,5.686989773777844,0.8369524652785311,0.7627781325857164,8.862430755626018,0.5968070764638805,0.5248301675251235,12.060331014374828
Random Forest,0.7919943169986778,0.7107747577935173,10.255068434448898,0.9288494126070664,0.8644443098269201,6.933858374241314,0.8671754876667699,0.7815737101303013,9.871332706461699,0.6830956603287971,0.5626691352773736,17.629525708516155
Logistic Regression,0.68959870612347,0.6405785396467856,7.108506156029174,0.8797812976757255,0.8145955295901486,7.409315048841091,0.7804159686518677,0.7003590688420173,10.258234457727076,0.5386999159091811,0.4575653572140538,15.06117901618639
XGBoost,0.7503781783039534,0.6529876731920357,12.978856252462615,0.9118800789996008,0.845917095961045,7.23373440846761,0.8520187802688383,0.7576325824171841,11.077948049674724,0.6293946406849844,0.5023903432743394,20.17880185195466
