Protein,Category,Pearson_r
Q9BXR6,Complement System,0.583786998794982
P63104,Other/Mixed,0.9428250903591983
P04217,Transport/Binding,0.8307904649806103
P01019,Other/Mixed,0.5701792638064019
P36955,Transport/Binding,0.6087094437661149
P35858,Transport/Binding,0.5190039597453535
P05109,Other/Mixed,0.15391398973398793
Q6Q788,Apolipoproteins,0.4774941535130213
P35442,Transport/Binding,0.0241723808753184
P02730,Cytoskeletal,0.8224329105818368
P35579,Cytoskeletal,0.18978590661757022
P60660,Cytoskeletal,0.8098268127657593
P08709,Coagulation/Fibrinogen,0.4123042601959588
P63261,Cytoskeletal,0.9506531623882271
P23528,Cytoskeletal,0.8060612481339995
Q96IY4,Protease/Inhibitors,0.09076481173163087
P49747,Transport/Binding,0.6107640441812987
P27105,Other/Mixed,0.7822140344178896
P07357,Complement System,0.3805233119288482
P01880,Immunoglobulins,0.9964918916160103
P06733,Metabolic Enzymes,0.027812059150262497
P19652,Transport/Binding,0.4871801003175671
P62937,Metabolic Enzymes,0.5503810477177016
P02533,Cytoskeletal,0.4632972815856391
P05106,Cytoskeletal,0.9646428675619918
P18206,Cytoskeletal,0.9410196983474901
P08519,Apolipoproteins,0.09189919503511149
P26038,Cytoskeletal,0.4926542699365653
P48740,Protease/Inhibitors,0.2766025257629044
P51884,Other/Mixed,0.9198888235126516
P10643,Complement System,0.5280099216581668
