Model,Acc_mean,Acc_sd,F1_mean,F1_sd,Precision_mean,Precision_sd,Recall_mean,Recall_sd,AUROC_mean,AUROC_sd,AUPRC_mean,AUPRC_sd,MCC_mean,MCC_sd
Single-task NN,0.8161250228060573,0.035653974592578935,0.6882504729566946,0.03269935037867863,0.6551070429164778,0.03572506730301797,0.7647929242622463,0.059613962400357996,0.8578706387248486,0.043441800795724655,0.7809177891477748,0.039636767647708626,0.5256254368104248,0.06713675337154482
Two-head ungated,0.8081984925196132,0.039100116282905356,0.6807380587736735,0.026817976927606926,0.6309521155980634,0.027784280174185844,0.7843870405913589,0.04425597968866284,0.851617818959484,0.04449712725481752,0.7566475261516644,0.04105444938950192,0.5151107149773806,0.06725097511006888
