Model,Median_r_mean,Median_r_sd,1-TVD_mean,1-TVD_sd,Cosine_mean,Cosine_sd
Single-task NN,0.5168557883432625,0.06410125667277258,0.5835929895709778,0.025470227471104518,0.7353747145996737,0.03841329178907716
Two-head ungated,0.5226467664402483,0.062244777913327394,0.5862821724397004,0.02592341142832019,0.7347083533260104,0.03748291924551739
