Model,Acc,F1,Precision,Recall,AUROC,AUPRC,MCC
Two-head without gating,0.8689655172413793,0.7877059207401622,0.7193208590242889,0.8925739632343425,0.937665733857105,0.8853211177645766,0.6734369865327701
Single-task NN,0.8707614942528735,0.7856399397078117,0.7357053982869097,0.8641463324239088,0.9322437141355012,0.8774033293012908,0.6698937173616091
